danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_genres,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.67,0.515,1,-6.977,1,0.397,0.0705,0.0,0.25,0.422,122.006,270867,4,7y911sqgHGHcyU4ivapjwi,All Me,62y3BHKehWnb1hlaPclDAA,"3TVXtAsR1Inumwj472S9r4,17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh",Drake|2 Chainz|Big Sean,83626299|8017349|11115824,canadian hip hop|canadian pop|hip hop|pop rap|rap|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap|detroit hip hop|hip hop|pop rap|r&b|rap|trap,96|75|75,2013-01-01,day,67,2024-01-08
0.889,0.4,4,-10.586,0,0.26,0.322,1.32e-05,0.331,0.336,128.073,301064,4,0Thqjtu54vKMP06pwZkAWp,G.O.M.D,62y3BHKehWnb1hlaPclDAA,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,22394288,conscious hip hop|hip hop|north carolina hip hop|rap,86,2014-12-09,day,75,2024-01-08
0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,208120,4,6mapJIPnQ23RTAevUoE0DL,Swang,62y3BHKehWnb1hlaPclDAA,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,7361248,melodic rap|mississippi hip hop|pop rap|rap|trap,71,2016-08-12,day,77,2024-01-08
0.634,0.665,6,-5.984,0,0.176,0.0172,0.0,0.365,0.611,131.108,237827,4,6j9iyrrmqWlQZ5SD1hSTaq,No Lie,62y3BHKehWnb1hlaPclDAA,"17lzZA2AlOHwCwFALHttmp,3TVXtAsR1Inumwj472S9r4",2 Chainz|Drake,8017349|83626299,atl hip hop|hip hop|pop rap|rap|southern hip hop|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap,75|96,2012-01-01,day,62,2024-01-08
0.793,0.498,8,-11.208,0,0.17,0.0974,1.26e-05,0.13,0.427,119.988,190653,4,6Nw1WHydftZy2joT2nTiCR,Nobody's Perfect,62y3BHKehWnb1hlaPclDAA,"6l3HvQ5sa6mXTsMTB19rO5,2wIVse2owClT7go1WT98tk",J. Cole|Missy Elliott,22394288|2364592,conscious hip hop|hip hop|north carolina hip hop|rap|dance pop|hip hop|hip pop|neo soul|pop rap|r&b|rap|urban contemporary|virginia hip hop,86|70,2011-09-27,day,69,2024-01-08
0.816,0.557,3,-6.494,0,0.271,0.156,0.0,0.189,0.87,76.026,189524,4,59OeNCL9JB3lCAdxMFSrkd,Dollar Signs,62y3BHKehWnb1hlaPclDAA,4u9WaJBNzimHp8AelXdgO7,Barry Hunter,99,,4,2019-10-18,day,20,2024-01-08
0.871,0.743,2,-5.442,1,0.277,0.00212,0.0,0.141,0.576,130.977,278827,4,7EZPH9Px3gXlxD5KJDwtwc,Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),62y3BHKehWnb1hlaPclDAA,"5gCRApTajqwbnHHPbr2Fpi,55Aa2cqylxrFIXC767Z865,17lzZA2AlOHwCwFALHttmp",Juicy J|Lil Wayne|2 Chainz,3138996|14232381|8017349,crunk|memphis hip hop|pop rap|rap|southern hip hop|trap|hip hop|new orleans rap|pop rap|rap|trap|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap,72|85|75,2013-08-23,day,64,2024-01-08
0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4,4Pwjz3DfvfQWV0rO2V8jyh,"Bitch, Don’t Kill My Vibe",62y3BHKehWnb1hlaPclDAA,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,26526500,conscious hip hop|hip hop|rap|west coast rap,87,2012,year,74,2024-01-08
0.78,0.799,9,-6.359,1,0.15,0.158,0.0,0.209,0.414,109.944,270187,4,48RN2EOOyG2Gs5Pyla7ZJj,Worst Behavior,62y3BHKehWnb1hlaPclDAA,3TVXtAsR1Inumwj472S9r4,Drake,83626299,canadian hip hop|canadian pop|hip hop|pop rap|rap,96,2013-01-01,day,60,2024-01-08
0.546,0.667,1,-5.236,1,0.274,0.0152,0.0,0.0895,0.471,87.666,269693,4,7DTlsMOQjGysXHpwwpHuPl,Lifestyle,62y3BHKehWnb1hlaPclDAA,"5pU9lKGn9IUnVvOCONrcIS,50co4Is1HCEo8bhOyUWKpn,5lHRUCqkQZCIWeX7xG4sYT",Rich Gang|Young Thug|Rich Homie Quan,14138|9355686|2800643,|atl hip hop|atl trap|gangster rap|melodic rap|rap|trap|atl hip hop|rap|southern hip hop|trap,53|83|63,2014-06-05,day,70,2024-01-08
0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,4,1zCi4cVFqe6ja16MeGZKRN,Poetic Justice,62y3BHKehWnb1hlaPclDAA,"2YZyLoL8N0Wb9xBt1NhZWg,3TVXtAsR1Inumwj472S9r4",Kendrick Lamar|Drake,26526500|83626299,conscious hip hop|hip hop|rap|west coast rap|canadian hip hop|canadian pop|hip hop|pop rap|rap,87|96,2012,year,57,2024-01-08
0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001,279307,4,1ia019RqDK2o4QiANR1Dyn,Moment 4 Life,62y3BHKehWnb1hlaPclDAA,"0hCNtLu0JehylgoiP8L4Gh,3TVXtAsR1Inumwj472S9r4",Nicki Minaj|Drake,30496118|83626299,hip pop|pop|queens hip hop|rap|canadian hip hop|canadian pop|hip hop|pop rap|rap,88|96,2010-01-01,day,74,2024-01-08
0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4,19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,62y3BHKehWnb1hlaPclDAA,34Y0ldeyUv7jBvukWOGASO,Bobby Shmurda,1494221,nyc rap|rap|trap,56,2014-07-25,day,73,2024-01-08
0.943,0.528,1,-5.565,1,0.168,0.0119,0.0,0.147,0.298,120.068,319724,4,32a5eLrlrKiXrqb1D16CUY,No Flex Zone - Remix,62y3BHKehWnb1hlaPclDAA,"7iZtZyCzp3LItcw1wtPI3D,0hCNtLu0JehylgoiP8L4Gh,0ONHkAv9pCAFxb0zJwDNTy",Rae Sremmurd|Nicki Minaj|Pusha T,7361248|30496118|2882949,melodic rap|mississippi hip hop|pop rap|rap|trap|hip pop|pop|queens hip hop|rap|gangster rap|hip hop|pop rap|rap|southern hip hop|trap|virginia hip hop,71|88|72,2014-01-01,day,52,2024-01-08
0.709,0.589,8,-7.776,0,0.0433,0.0507,0.0,0.0585,0.58,133.922,278067,3,29gsi1zZrZxdStACmTQB0Z,Studio,62y3BHKehWnb1hlaPclDAA,"5IcR3N7QB1j6KBL8eImZ8m,07d5etnpjriczFBB8pxmRe",ScHoolboy Q|BJ The Chicago Kid,4616817|442935,gangster rap|hip hop|pop rap|rap|southern hip hop|trap|alternative r&b|chicago rap,70|58,2014-01-01,day,70,2024-01-08
0.801,0.491,0,-9.088,1,0.0545,0.0938,9.35e-05,0.193,0.822,125.051,220800,4,5BtNw7uJInbyzt5gC1zODz,Sade In The 90s,62y3BHKehWnb1hlaPclDAA,4o4tLTIJ3eWMFerz73atcT,Qveen Herby,584377,trap queen,54,2018-06-08,day,51,2024-01-08
0.559,0.716,11,-3.964,0,0.39,0.737,0.0,0.252,0.504,176.618,275227,4,4jtyUzZm9WLc2AdaJ1dso7,0 To 100 / The Catch Up,62y3BHKehWnb1hlaPclDAA,3TVXtAsR1Inumwj472S9r4,Drake,83626299,canadian hip hop|canadian pop|hip hop|pop rap|rap,96,2013-07-14,day,72,2024-01-08
0.844,0.491,10,-8.807,0,0.17,0.272,0.0,0.111,0.196,91.935,337640,4,6t2eIONH4Sax3R21QWiKNp,Believe Me,62y3BHKehWnb1hlaPclDAA,"55Aa2cqylxrFIXC767Z865,3TVXtAsR1Inumwj472S9r4",Lil Wayne|Drake,14232381|83626299,hip hop|new orleans rap|pop rap|rap|trap|canadian hip hop|canadian pop|hip hop|pop rap|rap,85|96,2014-05-28,day,62,2024-01-08
0.632,0.73,6,-5.895,0,0.245,0.00316,0.0,0.397,0.762,76.067,315320,4,6klZDCEsQzMELAPyovvpUw,Every Girl,62y3BHKehWnb1hlaPclDAA,5OrB6Jhhrl9y2PK0pSV4VP,Young Money,2999342,dirty south rap|pop rap|rap|southern hip hop|trap,61,2009-01-01,day,54,2024-01-08
0.769,0.611,8,-2.85,1,0.039,0.098,0.0,0.221,0.0901,144.037,243333,4,2Vevs2eAQNNb7NTpKj5kqA,Cut Her Off,62y3BHKehWnb1hlaPclDAA,"5bgfj5zUoWpyeVatGDjn6H,17lzZA2AlOHwCwFALHttmp",K CAMP|2 Chainz,1658847|8017349,atl hip hop|melodic rap|southern hip hop|trap|atl hip hop|hip hop|pop rap|rap|southern hip hop|trap,58|75,2014-04-22,day,54,2024-01-08
