danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.594,0.469,4,-9.192,0,0.476,0.412,2.57e-06,0.0911,0.473,74.517,225000,5,2Y3EY4bEFhRbRvys4Fo9jK,World War 3,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-02-13,day,30,2023-12-19
0.817,0.441,8,-9.154,0,0.311,0.494,1.16e-05,0.0749,0.433,99.935,172800,4,3YK38gmKuG9reDly3KeKQ8,Weak Heart,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-01-17,day,23,2023-12-19
0.833,0.511,0,-7.91,0,0.202,0.73,0.0,0.224,0.49,100.044,203990,4,5wPcFRwPMK1aVhboTtJK5f,Rifle War,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-01-01,day,37,2023-12-19
0.688,0.734,6,-3.922,0,0.437,0.569,0.0,0.315,0.501,55.547,161071,4,0MCA6RAlibvowsEaZy9p8y,Welcome 2 TriniBad,"6QJrx4J9XqIxXUBhacoJHC,22VTLijlsfRm7CFJPHnj72","Medz Boss,Icee Dan","33706,13","26,0",2020-03-06,day,35,2023-12-19
0.738,0.629,9,-10.361,0,0.405,0.316,4.88e-06,0.0903,0.318,133.324,206495,5,3KowpMVfbYubAEk68w8qT1,Work,"6QJrx4J9XqIxXUBhacoJHC,4Eg9wMIN73JI2iMSj1b05y","Medz Boss,Kyler","33706,67","26,4",2019-10-17,day,14,2023-12-19
0.879,0.673,0,-8.447,0,0.257,0.655,0.0,0.103,0.657,91.527,194119,4,4jmstnoEZPzv3z5eI42KG4,Long Time,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2019-10-17,day,20,2023-12-19
0.561,0.642,10,-5.014,0,0.303,0.463,0.0,0.133,0.264,63.17,177659,3,7GqFgSi809aPSq4jwAqa1F,MEDTek Life,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2020-01-18,day,21,2023-12-19
0.629,0.549,11,-8.933,0,0.28,0.87,0.0,0.161,0.547,100.045,194096,4,7xRW9W9dbsbKrt9dWawAF5,Fear We,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2019-10-11,day,32,2023-12-19
0.565,0.529,7,-9.547,0,0.445,0.629,0.0,0.607,0.173,127.96,180000,5,46i8AWxlJkIjXj9mH9xrZf,War Start,1q8eLau7GFYIqG56nO7Cwt,CJ Dan,6759,8,2019-12-02,day,0,2023-12-19
0.87,0.494,2,-6.46,1,0.393,0.345,0.0,0.0754,0.526,99.97,174000,4,0XD8Gu2zhc8T0vX0xndGaz,Santa Cruz,1q8eLau7GFYIqG56nO7Cwt,CJ Dan,6759,8,2019-12-17,day,21,2023-12-19
0.619,0.489,6,-10.842,1,0.789,0.0784,0.0,0.106,0.355,131.774,187819,5,0PPzyHDLMpja5U3RqJegCP,Protect Yuh Life,"1q8eLau7GFYIqG56nO7Cwt,1z3USAQkpBPZ7J9In62MFb","CJ Dan,Vers","6759,870","8,6",2019-05-31,day,17,2023-12-19
0.819,0.568,5,-6.389,0,0.256,0.507,0.0,0.11,0.39,100.051,146955,4,2bQzXrzbcyJr78LdHpDwQY,Adrenaline,3UwGbC4Sl9MmonrpWo6grS,Boy Boy,28641,39,2019-10-01,day,51,2023-12-19
