track_id,popularity
6REbwUNlppTfcnV4d4ZoZi,83
3wdfLVUhmX64lIyWIIEW8s,55
0uuE2usj5bvRqfKlfOu1NZ,52
4AcScHuxr9xAqqyxxTMAhu,50
6XkuklKiHYVTlVvWlTgQYP,72
0hPLZrnDgtKxrym1BHjDhd,77
6MDdceLYec4AxohmorE4vH,63
7DcvwMAiqKJQD1rrdfxSDx,69
2yJ9GVCLMmzBBfQAnfzlwr,62
1Wc1SQwiThvSu9dMc5opth,51
60wwxj6Dd9NJlirf84wr2c,77
16YQkGOiqsATntjuZCq52X,43
0HTIrbUwwFn984RzVZm5Fk,82
5wG3HvLhF6Y5KTGlK0IW3J,89
2Igem6Q4sfvXGJ3JkG7Baw,57
5eq8CDTzJIOq0aMtwbp5Gn,34
7uZqvqXzzYMKrexKxdcGmd,60
0biVzpdI2z0vAxwfU9xuuA,74
2BcMwX1MPV6ZHP4tUT9uq6,83
74lnM5V6ecvoTPV0fvptx9,76
7wcyO1rrH3Ru4t659IjG41,58
2N3U8uTYhjX2KwGT0pf5x0,78
1t9WgS8FN0534tLBRwbaxO,70
4jtyUzZm9WLc2AdaJ1dso7,72
29TPjc8wxfz4XMn21O7VsZ,85
7LWtfSW68VAkHp3hpcFDCY,39
3AEgic4yp82NxMWUjHtxnO,57
04HeNxRRVjcwctfp2K2kMu,62
2BJWxD8xKrDv8vneTvTIm9,73
2CY92qejUrhyPUASawNVRr,57
1wNdGz7BlB9kH5lDc1eLLb,59
4UXpJDvdsfneLvT09oJocg,52
1ipSpQfzBbhPFhYm6tfVIz,77
2aCj4aX6TXFFUn5zTFRH4w,70
2ULQtFHTzUK0DqcqWUlXxw,67
5L3ecxQnQ9qTBmnLQiwf0C,81
1EvSBVwDCnIl0UkeeJbayT,6
2blzf3nIpUlxoFSZ3PEpNL,45
0Z2J91b2iTGLVTZC4fKgxf,82
1PDP7mLiAMwhfmgIwzhOm2,82
7EUdsWV0Cs8nyTo4R5Ef9b,44
0CFJoopJPNMEC7Itmp64Yb,59
6GgPsuz0HEO0nrO2T0QhDv,60
1zCi4cVFqe6ja16MeGZKRN,57
2V65y3PX4DkRhy1djlxd9p,84
7Fa5UNizycSms5jP3SQD3F,54
2A4vCndSkZ3jd5nfh3a8gc,64
0hCHNYL8ApQCGNwJrYN1FY,51
4l2rsMfr20dj6nf6i6F3Y8,51
7f1zjZG77S891Uv4O68yfk,61
0z8kOaMtOI4qkN6SyZQbEz,48
3BaridxR3bsmZw3F8ERWPj,37
3A2yGHWIzmGEIolwonU69h,68
2IRZnDFmlqMuOrYOLnZZyc,81
0z9hbAY5d0RhmvZr3DWMPK,44
5Mmk2ii6laakqfeCT7OnVD,72
2cZRGrMM82Xoh9SYsO46hR,35
5SECgk6Gf1TVMy2FApJmSO,39
0f1G5SHFoFC9lO03gHCGVS,65
60emrPlgw8J8d9VXy42Cbi,48
5ScbulRnixQ2XAdvrPMFjz,72
4mmkhcEm1Ljy1U9nwtsxUo,78
3gikeu0X8ZcZ1pVR4f984H,0
6glsMWIMIxQ4BedzLqGVi4,75
32ypPhtgTaETvFn3ZIHXTW,61
1pfwOQKJsRRBf6NdYO4Qog,74
6XeZ32B9HbV6ZrU6NTR2iM,51
6z1nMCq1HJSZ78u2jYtrDT,64
38844QuZDlnt44uHPrSA3S,67
3T06rGO2dVEntMvym0vpQu,77
3hlksXnvbKogFdPbpO9vel,83
4lc08Ite46dtoEhhCOQMTV,13
17Q87zeXgsAi9iQQbMu9v0,60
3SzjotM3GBjNAMWm79VSKN,38
6j8lAie0mdUNreql5d5Ejz,59
4RKJRRd4VJfZWiqQTYsleE,72
0LSawp8fYiAmY5KCLfYos5,29
2YMCSqTmBTtcYA8dyUCvbT,61
0VO8gYVDSwM1Qdd2GsMoYK,83
1YDebgap5OFwXEBG18NJvy,66
56D00FeODn6y0qHNDLZrda,4
5mCPDVBb16L4XQwDdbRUpz,86
3DWjFSDEQ9IWz1mj449fB7,75
59fFsGRwFiuhxKDPc1k6xW,64
3hsmbFKT5Cujb5GQjqEU39,73
2qPUnoasNe4Ep43emVXEig,74
3470gW4OnSHHsvPtSk6DYH,19
3pXF1nA74528Edde4of9CC,86
1rX5L6pyl3rVWb55D8Cprr,60
5uZm7EFtP5aoTJvx5gv9Xf,76
59JWp4PjZ9TRM8cmtaDYB1,69
6ezKE7zgRyfUsqRfGDJEMz,69
0kSnpKOS1bUguBGe2z661G,63
6Xi897JXNLSoIaoYZwgTLc,50
0mL82sxCRjrs3br407IdJh,87
003vvx7Niy0yvhvHt4a68B,89
3WcC6NH9J77xPEvj1SOL7z,69
6EDO9iiTtwNv6waLwa1UUq,73
20fAoPjfYltmd3K3bO7gbt,66
1GeNui6m825V8jP4uKiIaH,70
6huNf4dutXRjJyGn7f5BPS,82
5EPQXIxxry2D99lq31Hdu7,52
0SGkqnVQo9KPytSri1H6cF,71
51EC3I1nQXpec4gDk0mQyP,83
12hfZNWtZInct3l8nT3c9O,55
24cAQvqRus3LmObuJdBC84,5
7rC5Pl8rQSX4myONQHYPBK,71
2UN0lp72LAusrXi8LLVomt,66
1fCeXjoRExPP2qwSBh2aST,77
0Thqjtu54vKMP06pwZkAWp,75
2M9ULmQwTaTGmAdXaXpfz5,76
44OnxLiNTE4sLq3ujDwLBU,57
1yrhouFL3RSdUj9KfPDhoW,61
2QtxlzvSBONjs1bDC34ixs,71
6gi6y1xwmVszDWkUqab1qw,79
42zd6DYQ4o4SECmTITrM1U,77
2tPcTFiQF9MbVUyjZ3zDhA,64
7Hk12JkCFwLO4s1jRGBS6s,49
1Jo0Zg7XlrA6z0mFTZVdkn,72
3RkNXZvOSMMElmmXztDc94,66
0BKXZkU8oGad58MyTFyFXu,65
1IAzD1muglOxOcPbUHs70R,77
4Iy73U3ZqfhF1cxPDRSMKp,60
2g8HN35AnVGIk7B8yMucww,81
0w6webWdhjRKdqJ3DeGgM1,70
4p55EkzkGnWmLYDiNXc14t,61
4h90qkbnW1Qq6pBhoPvwko,74
6giYNaycmjkbf7UmZ6RGtL,55
163ExVYtJrtdE86Qd5Fw2N,46
7sLpSWxQazJzDVG6YGzlVs,69
0P2P1AxcRYhiZvoF5MyRmM,67
1RUTIdTnFs8lHSc0Zr4UJB,64
4immekPm8Har57BB9DcDSj,55
2Ec33AVlkTTq8BHFgBTdQs,63
36J0iaPDGbYGsHvYpaYs3k,68
4BHzHISX21PYwGXiBEUQ70,61
5BrTUo0xP1wKXLJWUaGFtk,77
7EQGXaVSyEDsCWKmUcfpLk,80
2Ch7LmS7r2Gy2kc64wv3Bz,85
6UjfByV1lDLW0SOVQA4NAi,70
3XiNC94b4Tq1xwv70sQJGN,71
2u7mxWSeoqTXndK5e08jMp,70
08XWh5c0BMyD1nKVxxl91z,73
1ia019RqDK2o4QiANR1Dyn,74
6Xa2q0dapj03CsRzmD0Os5,68
5FxKZ4IajYIRDjAWAboiB4,58
7soBkLenwWM7kB92cuyl04,62
57IRaiAB4hBZu3gnNVZC0v,63
1POAx4NMLOBPVKZUSsBh92,62
0fcq51a3gOI6gPvzc0YLsk,62
5R2rsbwCDXORX2tLfprRmM,73
4rWzdpoT0R3zdQlrkRSMv9,38
2uTrdatngtB000duMrfbiV,70
6IaieqiCVvsNvEt6Y7yOFa,68
1Wsbr1d2BouNGk2q92mIj7,71
1T4k0sw0HldDg004Kw4Oct,72
3FQdtOMXdfDcDDjY1OHAqz,48
6SOuxyJH5glKeDSFUJJ5tX,57
44CZRkOxv7UItaAUmh8PgN,72
4nva9EpKntUTs6CRSGBCn9,80
1cEhrSF6EylAEqdhUGuNpX,62
7FAFkQQZFeNwOFzTrSDFIh,83
6cZH4rX1KTt1aJ3Ql6Ynja,73
5zOm9ZAuAiJMb5G6uXGVlu,54
26BMsCXJpD7eYtP7ufhApC,65
6fujklziTHa8uoM5OQSfIo,78
5O2Yjlcs5pSpHq1gcA0cwg,54
0cu0rhnlCnJ7JIeHRiLpj3,70
1C8ux1YWLMHCenYJFiIV4Z,74
35srNkJVToAzYiZzron1FY,67
45pUWUeEWGoSdH6UF162G8,73
7Fege3yv4dvehB3NdRBGwI,74
35EfL85garkKhKEemkeLoC,56
6lgzJuBX3iqevLdtgNlyAU,51
4PhsKqMdgMEUSstTDAmMpg,83
6WzRpISELf3YglGAh7TXcG,93
1KUZ33cOqk3X4Ezk0aZnVp,75
4T0ScSPdQKmGvruK7pavNP,66
5jcMhhJ0gXhtruaFIBbL3t,57
5VuxWXbt7XENQCtE9TzpTv,67
2LvRR121MWFmmEGkuV2vQP,68
7szuecWAPwGoV1e5vGu8tl,80
5n8Aro6j1bEGIy7Tpo7FV7,74
3to5UxKsozb4T6CfwHuhLJ,67
0bHfRPMnqoMmSpzZywlCmq,64
221qmpQeBNV87sUjQeUTVH,80
0pNMYo9MXmyyR9Fp9HwiBT,51
15EPc80XuFrb2LmOzGjuRg,79
64SspxEpWugnnvgPM3KSWP,5
09mEdoA6zrmBPgTEN5qXmN,88
5WJdUrZ4ND1TCZ2AsjYK3P,47
2ANLarE8yHVsLWW21nj79M,68
3jlbL2OTD5YmIunYzgQTAN,77
4NdXQlDTzxbOMkzJGWFtz3,46
5byWPNSh2hi0ULmDxBgLyV,51
69CQe4ekUZ7txcSfEXYFW9,41
6Sq7ltF9Qa7SNFBsV5Cogx,89
1PH2MDbcBAU094DlgTIND1,80
27GmP9AWRs744SzKcpJsTZ,74
3gG6t4xCPtnTskhpRFFsqO,63
3TDWIXarI4pfCrjXKr7RtQ,61
0zO8ctW0UiuOefR87OeJOZ,79
190jyVPHYjAqEaOGmMzdyk,81
0VJXWgw0GWsprapvlpbuyu,71
078lbDGGTqBuTKU3bypXxQ,62
6iaSML1PIYq936g62BDtBq,83
2oHM9KAdFdFvDCaE4V6RST,78
2Aluo82liQMUHTUwpB3oen,43
0xrdZMsJIaxoTHAB4bvGnu,48
5qHirGR7M9tdm6C17DlzSY,76
1CLdt0lJtsExwYrZAykOfP,48
6wsqVwoiVH2kde4k4KKAFU,91
7rq7HvZrCie7MmiGm8pUVC,58
1mAey8kEPmDM2icL56kS9d,71
395WRTyNwMGx80cDXqg6vM,65
1f5cbQtDrykjarZVrShaDI,81
6or1bKJiZ06IlK0vFvY75k,80
376KnY4TrgBITxjlnbnmIy,60
6AQbmUe0Qwf5PZnt4HmTXv,84
1UYLxZIL4IicS6TaPUZFTH,56
3BLFj26pYuPe6DsmoTwDYK,0
1ThmUihH9dF8EV08ku5AXN,75
3yfqSUWxFvZELEM4PmlwIR,90
7icwQvajsokotDfM3tefW6,78
4Vir8uv89eNY6hovcNq4w6,59
1oNcc2isuz7d3hc1fMoHqj,65
2bTRpIxPniQmrSgwmtF1b2,62
2vw2nopHWeQ0EUJPKNy8yS,35
3KLo7ByvjCNyBrfz5DZ2mO,61
0dIoGTQXDh1wVnhIiSyYEa,65
433P7tDcIAi6NLnf4Sh6tI,68
2iDjCLUOGhJtz5cPHljGVd,55
0TlLq3lA83rQOYtrqBqSct,81
4P6BuLsqtg5uISdE77ypI9,69
6vN77lE9LK6HP2DewaN6HZ,84
27NovPIUIRrOZoCHxABJwK,81
0LnS7aOdOdI1dNKZqdOLz4,72
1I55Ea0zVoSKs6MqW7DQ3i,65
0eu0YHRc7cnMjtAQOE7Xyb,49
7wsmIIm0xWmtP7TmACXkJn,62
2ZL7WZcjuYKi1KUDtp4kCC,83
4XiGKQqbmnMVxDzUj6j3f2,67
5IjRKZlpKVBBRn0COL7pik,56
1yeB8MUNeLo9Ek1UEpsyz6,90
5swaNc5Ezn8WKacGObLCKF,74
3Ddny34bFoYBb8dIGq5lwp,66
3nAq2hCr1oWsIU54tS98pL,74
4wrgMRNI4yDJwSSLpUMVkS,4
40oKW22ZNNkEdZLJTScaQI,76
6LyAwkJsHlW7RQ8S1cYAtM,83
51RaJOy09JMFHyPaDgXxBO,63
0KLvDgrhFKo6k1ZSHiv5v3,55
1uL78kFWxhz3umTMWJu8n5,67
1srm5YnZiu7Ksnd2UTTmmk,56
1Gno5IBUHh6vUKp4nxu2Yd,67
4oeaIftdpT3JuZLcCkKmVE,72
0lf7CfXZnvX7LnqL2q8FNB,50
1KIQ0RscHwxXPJUvhuO5Bl,64
5JS1gz9zP4GTy0LZYvSeUK,67
0gHcxtyWQT0HrlGxaxP1KT,56
689uBlyIufk2LUhAwjny4w,52
0PT7nlpo11hYYyfnBgtilT,61
5uQOauh47VFt3B2kV9kRXw,80
4dTaAiV9xFFCxnPur9c9yL,71
7dJYggqjKo71KI9sLzqCs8,93
0JhonNQL2ixH1JcsgEj4Hn,64
1yCVsVH2hQ72SxNI8QTDaB,75
6MGRweoLPBAaPcXTMpMWsA,64
1hzJQIkgXwZevaKsc7iA6D,57
1vnsGFNWNANWMg0CAeMkl2,49
01Lr5YepbgjXAWR9iOEyH1,85
1J0O3RqCeoMcXbayQZDZXL,60
3jagJCUbdqhDSPuxP8cAqF,72
2Hh3ETdQKrmSI3QS0hme7g,89
62uolmVjOio9xIfwDM1ZvC,58
2lXQX3uhFHRYGBE6xR3tic,79
4cg1yakyRSIOjxKM2I7J1q,72
7GX5flRQZVHRAGd6B4TmDO,86
0Y0TOsE1q11qgbi7c5WZsG,71
3TDTfJarTsRXCd8lITkTRv,60
2SAqBLGA283SUiwJ3xOUVI,80
07KXEDMj78x68D884wgVEm,72
1BKT2I9x4RGKaKqW4up34s,73
4P7VFiaZb3xrXoqGwZXC3J,72
3edzl4zvKFi0D3iuF6cs2f,51
2EgB4n6XyBsuNUbuarr4eG,64
5TRPicyLGbAF2LGBFbHGvO,90
41bmnQZoDMQdDh5zyomtW7,74
3a1lNhkSLSkpJE4MSHpDu9,85
4INDiWSKvqSKDEu7mh8HFz,76
7cLnbmx7ZUWAwyocrKz3wL,83
75Bf08PjoDu3CXuWsiVHF5,58
2Hc1LaV6bzFil3dE71eORA,75
65rRB2mspD309xE6YimZTl,66
5J4ZkQpzMUFojo1CtAZYpn,82
1mvDFqbbmgmMmU6U4dIq5m,69
2f2WskmLwsLtGkjntD8NG7,63
4cEqoGTqPRZy76Yl3ymj3V,68
1lw4FrPr3Y8R7Q1Mro2TMe,71
1oOEkBNp4zWnkD7nWjJdog,66
1cKHdTo9u0ZymJdPGSh6nq,88
527k23H0A4Q0UJN3vGs0Da,80
1ZAyjvIk9YiD76yYy0TEG6,73
4p81HJYZufVOTYYpQBT1om,16
19JdbdEwQI7bCxefMokZO8,69
2NM0qHzx4Ohy8iXHEEgwlO,63
4ezAjoV01phDz1SqO6SzEU,61
7CGl5DRfDKgVpoHZv1Thvj,41
1EjzkhMFJgl08Qkn2uDV1d,60
7ge7BHazYbVKi8qyZUX1Bm,72
23tyRvp2QIoxukwDvVxq3J,58
03ERnTvSV5fy8WAyvA4uNP,65
3PBC860LAeS4utDAqlqIe2,57
2RUuKIHFHjk41E7YsJ9HNP,45
21UkXrc9kD48rNpTMI2ecz,62
0PUYUp6TBUZ7mn1On92cAk,54
5hTl2uxJGd1sbLtovguuuk,69
78TTtXnFQPzwqlbtbwqN0y,81
5Q6DJEgNTiN9xcOQzKmw9F,64
42iB9FGhrqTXFQtE2Mypxl,50
5GxnROd93Y7NGt2ci0TwBw,66
78QR3Wp35dqAhFEc2qAGjE,86
5r29mFrurlVBbqJzjr2XW6,63
3sA7HKGzcKTVscdiTCrWpX,71
0Aqlt4N5h6rUtKnd09VXpr,58
61S79KIVA4I9FXbnsylEHT,69
119pE59HeIqBiaXHbw7B1M,38
6kK6Tz8esTt3pqSaNiM1qB,51
1XRgIKC5TPwo7nWGyKqgG0,74
232jKM7OzWMfuwHyf9r3dX,75
5cx7vkF8BQ0iOsVpfvZbnz,68
6heRfvHrUIIPx9TqRg8SCq,63
3EikYy40GMSp8l5mDV6IQo,69
2r7BPog74oaTG5shNYiUnV,77
6etwirSInfuJrSOlogS6Sh,81
0e7ipj03S05BNilyu5bRzt,85
5IZc3KIVFhjzJ0L2kiXzUl,63
4i8qEsqa426Ctz6KRno3dA,47
2kQuhkFX7uSVepCD3h29g5,87
7ytR5pFWmSjzHJIeQkgog4,79
0Dc7J9VPV4eOInoxUiZrsL,76
4bPsiRqWPFPgLiPQR7jNo4,69
7yfg0Eer6UZZt5tZ1XdsWz,71
7oJrVhiTPZGBXWPwhxjy9S,75
3XQY8kDjI8LARMIC9xkxQk,63
7IMwEtpAiJanqF6vQteZN2,67
2Zy7XVdxyZQB8xp5xbpJdl,68
3Gf5nttwcX9aaSQXRWidEZ,79
04uMsCRuGU3lycCKyqBc8I,56
